efac,spinodal,lnz_0,phase,temp,volume,run,system,beta,edge_distance,ntot,betaOmega,PE,dw
1.0,0,-4.08776389925,0,0.7,512.0,1,lj-n12m6,1.4285714285714286,472.0,16.617210849647016,-11.186193084322406,-8.210997903996738,1.0000000000000036
1.0,0,-4.08776389925,1,0.7,512.0,1,lj-n12m6,1.4285714285714286,20.0,465.4658211728674,-977.2601312423925,-3015.1950437587143,967.6598110749999
1.0,1,-7.985219460826091,0,0.7,512.0,1,lj-n12m6,1.4285714285714286,486.0,0.17563184408439225,-0.17503649904086258,-0.000839301014906269,709.1247700973059
1.0,1,-7.985219460826091,1,0.7,512.0,1,lj-n12m6,1.4285714285714286,114.0,369.6907245138355,704.8552087368045,-1948.9398241899557,1.0
1.0,0,-4.087811888375,0,0.7,512.0,2,lj-n12m6,1.4285714285714286,472.0,16.620496001910702,-11.187431343498591,-8.216124582540498,1.0000000000000036
1.0,0,-4.087811888375,1,0.7,512.0,2,lj-n12m6,1.4285714285714286,20.0,465.437786540903,-976.9280071988587,-3014.8910702744497,967.3062168225
1.0,1,-7.986226904416662,0,0.7,512.0,2,lj-n12m6,1.4285714285714286,486.0,0.1754960315126834,-0.17490242438928097,-0.0008375192811764808,709.5333244789985
1.0,1,-7.986226904416662,1,0.7,512.0,2,lj-n12m6,1.4285714285714286,114.0,369.3209065210763,705.2537910561684,-1945.2801889748362,1.0000000000001137
1.0,0,-4.290539550781251,0,0.7,512.0,3,lj-n12m6,1.4285714285714286,477.0,10.767472718551863,-8.35098158330367,-3.24112875010203,5.718915931875015
1.0,0,-4.290539550781251,1,0.7,512.0,3,lj-n12m6,1.4285714285714286,23.0,462.71577564162845,-878.3815027574523,-2984.669459634291,875.8966894171874
1.0,1,-7.9764103679166665,0,0.7,512.0,3,lj-n12m6,1.4285714285714286,486.0,0.17544177594362775,-0.17484634620386055,-0.0008374266217295797,709.5595662179998
1.0,1,-7.9764103679166665,1,0.7,512.0,3,lj-n12m6,1.4285714285714286,114.0,369.3289645597188,705.2766795151684,-1945.4111408811707,1.0
1.0,0,-4.077709247,0,0.7,512.0,4,lj-n12m6,1.4285714285714286,472.0,16.621657326646755,-11.188774296958165,-8.214716285670379,1.0000000000000107
1.0,0,-4.077709247,1,0.7,512.0,4,lj-n12m6,1.4285714285714286,20.0,465.4022966610699,-977.2816147849107,-3014.5037833668675,967.65377409
1.0,1,-7.976031943304349,0,0.7,512.0,4,lj-n12m6,1.4285714285714286,486.0,0.17551966496501903,-0.17492526988802246,-0.0008368754946600791,709.386385222218
1.0,1,-7.976031943304349,1,0.7,512.0,4,lj-n12m6,1.4285714285714286,114.0,369.2946873932373,705.1112984132418,-1945.077092150529,0.9999999999998863
1.0,0,-4.084602941000001,0,0.701,512.0,1,lj-n12m6,1.4265335235378032,472.0,16.65445904896216,-11.222041086443284,-8.214869268431052,0.9999999999999964
1.0,0,-4.084602941000001,1,0.701,512.0,1,lj-n12m6,1.4265335235378032,20.0,465.2253148917225,-972.5897524370505,-3011.890425866678,962.9415085599999
1.0,1,-7.965717552250003,0,0.701,512.0,1,lj-n12m6,1.4265335235378032,486.0,0.17911135396413885,-0.17849373091897164,-0.0008697497270931919,705.8854297650008
1.0,1,-7.965717552250003,1,0.701,512.0,1,lj-n12m6,1.4265335235378032,114.0,369.28346131340044,701.6029107744118,-1944.574344337485,1.0
